10000068	NA	4325		Cesare	Adelmare			Cesare Adelmare	Cesare Adelmare									Cesare Adelmare	AF	1459	NA	IN	1569	1569	d. 1569		221	1550	1591	NA	NA	NA
10000069	NA	69072		Henry	Adis			Henry Adis	Henry Adis									Adis, Henry	BF	1641	1642	IN	1663	1663	fl. 1641/2-1663	General Baptist leader and writer	858	1648	1661	NA	NA	NA
10000070	NA	74474		Hendrick	Adriaen de Colonia			Hendrick Adriaen de Colonia	Hendrick Adriaen de Colonia									Hendrick Adriaen de Colonia	IN	1668	1668	IN	1701	1702	1668-1701/2	painter	112	1668	1702	NA	NA	NA
10000071	NA	67951		John	Adson			John Adson	John Adson									Adson, John	CA	1587	1587	IN	1640	1640	bap. 1587?, d. 1640	musician and composer	730	1587	1640	NA	NA	NA
10000072	NA	206		Arthur	Agard			Arthur Agard, Arthur Agarde	Arthur Agard	Arthur Agarde								Agard, Arthur	IN	1535	1536	IN	1615	1615	1535/6-1615	archivist and antiquary	1270	1553	1811	NA	NA	NA
10000073	NA	218		Benjamin	Agas			Benjamin Agas, Benjamin Agus	Benjamin Agas	Benjamin Agus								Agas [Agus], Benjamin	IN	1622	1622	IN	1689	1689	bap. 1622, d. 1689	clergyman and ejected minister	805	1622	1689	NA	NA	NA
10000074	NA	207		Radulph	Agas			Radulph Agas, Ralph Agas	Radulph Agas	Ralph Agas								Agas, Radulph [Ralph]	IN	1540	1540	IN	1621	1621	c.1540-1621	land surveyor	708	1566	1606	NA	NA	NA
10000075	NA	209		Edward	Aggas			Edward Aggas	Edward Aggas									Aggas, Edward	BF/IN	1549	1549	CA	1625	1625	b. in or before 1549, d. 1625?	bookseller and publisher	292	1549	1625	NA	NA	NA
10000076	NA	210		Robert	Aggas			Robert Aggas	Robert Aggas									Aggas, Robert	IN	1620	1620	IN	1682	1682	c.1620-c.1682	landscape and scene painter	315	1635	1682	NA	NA	NA
10000077	NA	212		Edward	Aglionby			Edward Aglionby	Edward Aglionby									Aglionby, Edward	IN	1520	1520	CA	1591	1591	1520-1591?	member of parliament	1171	1532	1588	NA	NA	NA
