id,display_name,first_name,last_name,created_by,historical_significance,prefix,suffix,title,birth_year_type,birth_year,death_year_type,death_year,gender,approved_by,approved_on,odnb_id,created_at,updated_at,search_names_all,citation,aliases
10005504,Queen Katherine of Aragon,Katherine,Hapsburg,2,"queen of England, first consort of Henry VIII",Queen,of Aragon,,IN,1485,IN,1536,female,4,2017-04-13 14:02:59.113544,4891,2015-02-25 00:41:08.034703,2017-04-13 14:02:59.113176,"Katherine of Aragon, Queen Katherine, Queen Katherine Hapsburg, Queen Katherine Hapsburg of Aragon, Queen Katherine of Aragon, Queen Hapsburg, Queen Hapsburg of Aragon, Katherine, Katherine Hapsburg, Katherine Hapsburg of Aragon, Katherine of Aragon, Katherine of Aragon, Queen Katherine, Queen Katherine Hapsburg, Queen Catherine Hapsburg of Aragon, Queen Catherine of Aragon, Queen Hapsburg, Queen Hapsburg of Aragon, Catherine, Catherine Hapsburg, Catherine Hapsburg of Aragon, Catherine of Aragon",,
10004092,Charles Fairfax,Charles,Fairfax,2,antiquary and genealogist,,,,IN,1597,IN,1673,male,2,2017-04-26 14:28:19.475321,9078,2015-02-25 00:40:41.839945,2017-04-26 14:28:19.475182,"Charles Fairfax, Charles, Charles Fairfax",,
10001556,Sir John Bright,John,Bright,2,parliamentarian officer and landowner,Sir,,,IN,1619,IN,1688,male,2,2017-04-26 14:24:36.407789,3419,2015-02-25 00:40:01.657173,2017-04-26 14:24:36.407687,"John Bright, Sir John, Sir John Bright, Sir Bright, John, John Bright",,
10007220,Jean Le Clerc,Jean,Le Clerc,2,theologian and philosopher,,,,IN,1657,IN,1736,male,2,2017-05-08 17:53:29.782800,66368,2015-02-25 00:41:35.878296,2017-05-08 17:53:29.782661,"Jean Le Clerc, Jean, Jean Le Clerc",,
10010424,Sir Thomas Rokeby,Thomas,Rokeby,2,judge,Sir,,,IN,1631,IN,1699,male,2,2017-04-26 14:22:13.676484,24014,2015-02-25 00:42:26.393625,2017-04-26 14:22:13.676149,"Thomas Rokeby, Sir Thomas, Sir Thomas Rokeby, Sir Rokeby, Thomas, Thomas Rokeby",,
10007425,Robert Lilburne,Robert,Lilburne,2,regicide and deputy major-general,,,,IN,1614,IN,1665,male,2,2017-04-26 14:24:08.435257,16655,2015-02-25 00:41:39.008537,2017-04-26 14:24:08.435144,"Robert Lilburne, Robert, Robert Lilburne",,
10010670,William Sancroft,William,Sancroft,2,archbishop of Canterbury and nonjuror,,,,IN,1617,IN,1693,male,2,2017-05-08 17:18:57.603720,24610,2015-02-25 00:42:30.421786,2017-05-08 17:18:57.603212,"William Sancroft, William, William Sancroft",,
10000815,Adam Baynes,Adam,Baynes,2,parliamentarian army officer,,,,IN,1622,IN,1671,male,2,2017-04-26 14:28:19.486387,1777,2015-02-25 00:39:47.311408,2017-04-26 14:28:19.486247,"Adam Baynes, Adam, Adam Baynes",,
10054884,Christopher Wren,Christopher,Wren,563,"Architect, mathematician, and astronomer. ",,,,IN,1632,IN,1723,male,563,2017-05-08 16:24:36,30019,2017-05-08 16:27:53.132488,2017-05-08 16:27:53.132488,"Christopher, Christopher Wren",,
10054883,Sir Bernardo Guasconi,Bernardo,Guasconi,563,Royalist army officer and diplomat,Sir,,,IN,1614,IN,1687,male,563,2017-05-08 16:30:55.917500,10420,2017-05-08 15:38:21.724044,2017-05-08 16:30:55.916985,"Sir Bernardo, Sir Bernardo Guasconi, Sir Guasconi, Bernardo, Bernardo Guasconi, Bernard Gascoigne",,Bernard Gascoigne
10002721,Henry Compton,Henry,Compton,2,bishop of London,,,,IN,1631,IN,1713,male,2,2017-05-08 17:50:09.006402,6032,2015-02-25 00:40:20.610224,2017-05-08 17:50:09.006071,"Henry Compton, Henry, Henry Compton",,
10004170,Margaret Fell,Margaret,Fell,2,Quaker leader,,,,IN,1614,IN,1702,female,11,2017-05-11 14:47:08.250704,9260,2015-02-25 00:40:42.981998,2017-05-11 14:47:08.249621,"Margaret Fell, Margaret Askew, Margaret, Margaret Fell, Margaret Fox",,
10008762,Henry Neville,Henry,Neville,2,politician and political writer,,,,IN,1620,IN,1694,male,2,2017-05-08 18:28:54.419169,19941,2015-02-25 00:41:59.750697,2017-05-08 18:28:54.419068,"Henry Neville, Henry, Henry Neville",,
10054868,Elizabeth Ashburnham,Elizabeth,Ashburnham,503,,,,,AF,1629,CA,1643,female,5,2017-07-07 16:24:48.082404,,2016-11-16 23:01:37.512142,2017-07-07 16:24:48.082302,"Elizabeth, Elizabeth Ashburnham, Elizabeth Cornwallis",,Elizabeth Cornwallis
10054885,Sir Bernard Gascoigne,Bernard,Gascoigne,563,Royalist army officer and diplomat,Sir,,,IN,1614,IN,1687,male,563,2017-06-08 18:39:03.535432,10420,2017-05-08 17:23:48.399758,2017-06-08 18:39:03.535325,"Sir Bernard, Sir Bernard Gascoigne, Sir Gascoigne, Bernard, Bernard Gascoigne, Bernardo Guasconi",,Bernardo Guasconi
10007364,Gregorio Leti,Gregorio,Leti,2,Writer of the life of Elizabeth I of England. Italian exile living in England from 1680-1683. ,,,,IN,1630,IN,1701,male,563,2017-05-18 15:30:06.812966,0,2015-02-25 00:41:38.103691,2017-05-18 15:30:06.812469,"Gregorio Leti, Gregorio, Gregorio Leti, Abbe Gualdi, L'abbé Gualdi, Gualdus",,
10009112,Henry Oldenburg,Henry,Oldenburg,2,scientific correspondent and secretary of the Royal Society,,,,IN,1619,IN,1677,male,2,2017-06-05 13:34:21.068790,20676,2015-02-25 00:42:05.297604,2017-06-05 13:34:21.068400,"Henry Oldenburg, Heinrich Oldenburg, Henry, Henry Oldenburg",,
