id,group_id,person_id,start_date_type,start_year,end_date_type,end_year,created_by,created_at,approved_by,approved_on,citation
131,39,10000959,AF/IN,1667,BF/IN,1673,1,2015-03-09 22:14:30.906647,4,2015-06-15 21:26:07.802871,
133,40,10012395,AF/IN,1674,BF/IN,1683,1,2015-03-09 22:17:22.428088,4,2015-06-15 21:26:13.716304,
134,41,10002790,AF/IN,1683,BF/IN,1683,1,2015-03-09 22:17:41.152453,4,2015-06-15 21:26:17.051981,
136,42,10002232,AF/IN,1688,BF/IN,1688,1,2015-03-09 22:18:40.164595,4,2015-06-15 21:26:22.832542,
137,43,10010670,AF/IN,1689,BF/IN,1693,1,2015-03-09 22:19:46.240879,4,2015-06-15 21:26:26.047353,
154,75,10000324,BF/IN,1672,BF/IN,1679,1,2015-03-09 22:41:20.047356,4,2015-06-15 21:26:51.460856,
151,57,10012122,AF/IN,1516,BF/IN,1558,1,2015-03-09 22:35:45.730032,4,2015-06-15 21:26:58.961820,
150,56,10002354,AF/IN,1650,BF/IN,1664,1,2015-03-09 22:35:14.177431,4,2015-06-15 21:27:02.066806,
148,54,10000060,AF/IN,1643,BF/IN,1592,1,2015-03-09 22:30:22.764341,4,2015-06-15 21:27:07.389572,
138,44,10011905,AF/IN,1689,BF/IN,1734,1,2015-03-09 22:20:52.481370,4,2015-06-15 21:27:21.013705,
140,46,10009417,AF/IN,1695,BF/IN,1707,1,2015-03-09 22:21:47.172940,4,2015-06-15 21:27:26.648831,
142,48,10001335,AF/IN,1649,BF/IN,1660,1,2015-03-09 22:24:19.995652,4,2015-06-15 21:27:31.619538,
143,49,10001049,AF/IN,1649,BF/IN,1649,1,2015-03-09 22:25:00.892911,4,2015-06-15 21:27:33.961823,
145,51,10003392,AF/IN,1651,BF/IN,1685,1,2015-03-09 22:26:24.140126,4,2015-06-15 21:27:38.670743,
146,52,10007935,AF/IN,1630,BF/IN,1711,1,2015-03-09 22:29:17.029854,4,2015-06-15 21:27:41.429844,
156,73,10010554,IN,1553,BF/IN,1555,1,2015-03-09 22:42:16.156207,4,2015-06-15 21:28:06.285009,
158,71,10004349,AF/IN,1460,BF/IN,1534,1,2015-03-09 22:45:25.924896,4,2015-06-15 21:28:13.272725,
171,76,10002271,IN,1649,IN,1649,5,2015-03-25 01:09:43.806806,5,2015-03-25 01:09:33,
172,77,10008309,IN,1649,IN,1674,5,2015-03-25 01:13:45.719717,5,2015-03-25 01:13:15,
173,65,10012887,IN,1660,BF/IN,1672,5,2015-03-25 21:12:27.490358,5,2015-03-25 21:12:18,
175,78,10008309,BF/IN,1667,IN,1674,5,2015-03-27 21:41:41.364830,5,2015-03-27 21:40:27,
177,56,10009531,IN,1644,IN,1710,5,2015-03-27 22:21:20.726840,5,2015-03-27 22:20:41,
176,78,10006423,CA,1673,AF/IN,1679,5,2015-03-27 21:43:11.188673,5,2015-03-27 21:41:54,
23,81,10012994,AF/IN,1606,BF/IN,1624,1,2015-03-09 18:55:29.211505,4,2015-04-29 17:13:37.765837,
24,81,10011293,AF/IN,1606,BF/IN,1624,1,2015-03-09 18:56:00.939226,4,2015-04-29 17:13:52.208647,
25,81,10009330,AF/IN,1606,BF/IN,1624,1,2015-03-09 18:56:23.759569,4,2015-04-29 17:13:57.680441,
41,81,10005843,AF/IN,1606,BF/IN,1624,1,2015-03-09 19:08:41.428801,4,2015-06-15 21:12:00.396509,
159,70,10003332,AF/IN,1600,BF/IN,1605,1,2015-03-09 22:46:05.821708,4,2015-06-15 21:28:16.225734,
47,81,10005039,AF/IN,1606,BF/IN,1607,1,2015-03-09 19:11:33.559409,4,2015-06-15 21:12:52.471383,
192,81,10005363,AF/IN,1606,BF/IN,1616,4,2015-04-29 17:16:24.364689,4,2015-06-15 21:29:39.020006,
