first_name,birth_year_type,odnb_id,historical_significance,created_by,updated_at,aliases,id,search_names_all,last_name,title,death_year_type,citation,approved_by,gender,suffix,display_name,prefix,approved_on,death_year,created_at,birth_year
Francois-Marie,IN,68321,writer and philosopher,2,2015-07-08 04:18:28.026444,,10000296,"Francois-Marie Arouet, Francois-Marie, Francois-Marie Arouet",Arouet,,IN,,2,male,,Francois-Marie Arouet,,2015-07-08 04:18:28.026611,1778,2015-02-25 00:39:39.675738,1694
Thomas,IN,684,naval officer,2,2015-07-08 04:18:26.997016,,10000295,"Thomas Arnold, Thomas, Thomas Arnold",Arnold,,IN,,2,male,,Thomas Arnold,,2015-07-08 04:18:26.997181,1737,2015-02-25 00:39:39.663239,1679
John,IN,11360,Church of England clergyman,2,2015-07-10 00:39:01.428806,,10005144,"John Grayle, John Graile, John, John Grayle",Grayle,,IN,,2,male,,John Grayle,,2015-07-10 00:39:01.428967,1651,2015-02-25 00:40:59.258079,1613
John,IN,3789,logician,2,2015-07-08 07:28:32.442223,,10001699,"John Bryan, John, John Bryan",Bryan,,AF,,2,male,,John Bryan,,2015-07-08 07:28:32.442393,1521,2015-02-25 00:40:04.304734,1492
Daniel,CA,67037,banker,2,2015-07-08 04:18:42.074326,,10000301,"Daniel Arthur, Sir Daniel, Sir Daniel Arthur, Sir Arthur, Daniel, Daniel Arthur",Arthur,,IN,,2,male,,Sir Daniel Arthur,Sir,2015-07-08 04:18:42.074504,1705,2015-02-25 00:39:39.738412,1620
Edward,IN,67245,cloth merchant and parliamentarian activist,2,2015-07-08 04:21:11.509774,,10000327,"Edward Ashe, Edward, Edward Ashe",Ashe,,IN,,2,male,,Edward Ashe,,2015-07-08 04:21:11.509940,1656,2015-02-25 00:39:40.091119,1599
Thomas,IN,710,physician,2,2015-07-08 04:18:51.417275,,10000304,"Thomas Arthur, Thomas, Thomas Arthur",Arthur,,IN,,2,male,,Thomas Arthur,,2015-07-08 04:18:51.417438,1675,2015-02-25 00:39:39.776005,1593
Peter,AF,775,translator,2,2015-03-11 22:32:37.595673,,10000342,"Peter Ashton, Peter, Peter Ashton",Ashton,,IN,,2,male,,Peter Ashton,,2015-02-25 00:39:40.292851,1548,2015-02-25 00:39:40.295742,1438
Michael,IN,10490,Church of England clergyman,2,2015-07-14 04:05:59.062973,,10004752,"Michael Geddes, Michael, Michael Geddes",Geddes,,IN,,2,male,,Michael Geddes,,2015-07-14 04:05:59.063149,1713,2015-02-25 00:40:51.932977,1647
John,CA,23981,civil lawyer,2,2015-07-14 03:57:07.271976,,10010401,"John Rogers, John, John Rogers",Rogers,,AF/IN,,2,male,,John Rogers,,2015-07-14 03:57:07.272181,1603,2015-02-25 00:42:26.048224,1540
Charles,IN,25117,politician and army officer,2,2015-07-14 04:05:59.651744,,10010896,"Charles Seton, Charles, Charles Seton",Seton,,IN,,2,male,,Charles Seton,,2015-07-14 04:05:59.651873,1672,2015-02-25 00:42:34.086539,1615
John,AF,448,composer and organist,2,2015-07-08 04:09:15.461007,,10000180,"John Amner, John, John Amner",Amner,,IN,,2,male,,John Amner,,2015-07-08 04:09:15.461329,1641,2015-02-25 00:39:37.964727,1531
Samuel,IN,14674,lawyer and nonconformist preacher,2,2015-07-10 04:30:47.586612,,10006555,"Samuel Jeake, Samuel, Samuel Jeake",Jeake,,IN,,2,male,,Samuel Jeake,,2015-07-10 04:30:47.586781,1690,2015-02-25 00:41:25.538797,1623
Arthur,IN,67540,army officer,2,2015-07-10 13:12:18.276052,,10007860,"Arthur Magennis, Arthur, Arthur Magennis",Magennis,,IN,,2,male,,Arthur Magennis,,2015-07-10 13:12:18.276315,1683,2015-02-25 00:41:45.623030,1623
Edward,IN,27128,bishop of Ossory,2,2015-07-11 05:36:01.191907,,10011846,"Edward Tenison, Edward, Edward Tenison",Tenison,,IN,,2,male,,Edward Tenison,,2015-07-11 05:36:01.192055,1735,2015-02-25 00:42:53.686710,1673
William,IN,76216,clergyman and ejected minister,2,2015-03-11 22:32:37.906683,,10000360,"William Aspinwall, William, William Aspinwall",Aspinwall,,IN,,2,male,,William Aspinwall,,2015-02-25 00:39:40.589936,1673,2015-02-25 00:39:40.592650,1602
John,CA,813,potter,2,2015-03-11 22:32:37.969114,,10000364,"John Astbury, John, John Astbury",Astbury,,CA,,2,male,,John Astbury,,2015-02-25 00:39:40.643784,1743,2015-02-25 00:39:40.646451,1688
William,AF,27426,literary editor,2,2015-07-11 15:51:49.031692,,10011947,"William Thynne, William, William Thynne",Thynne,,IN,,2,male,,William Thynne,,2015-07-11 15:51:49.031900,1546,2015-02-25 00:42:55.648496,1436
Christopher,IN,20389,physician,2,2015-07-10 16:57:51.236394,,10008946,"Christopher Nugent, Christopher, Christopher Nugent",Nugent,,IN,,2,male,,Christopher Nugent,,2015-07-10 16:57:51.236535,1775,2015-02-25 00:42:02.793885,1698
Lavalin,IN,67225,Capuchin friar,2,2015-07-10 16:57:56.172174,,10008948,"Lavalin Nugent, Lavalin, Lavalin Nugent",Nugent,,IN,,2,male,,Lavalin Nugent,,2015-07-10 16:57:56.172318,1635,2015-02-25 00:42:02.821595,1569
John,AF,540,religious author,2,2015-07-08 04:31:07.411404,,10000416,"John Aungell, John Angell, John Angel, John, John Aungell",Aungell,,IN,,2,male,,John Aungell,,2015-07-08 04:31:07.411565,1566,2015-02-25 00:39:41.342471,1456
Thomas,IN,25909,soldier and writer on gunnery,2,2015-07-08 06:02:23.915861,,10011242,"Thomas Smith, Thomas, Thomas Smith",Smith,,IN,,2,male,,Thomas Smith,,2015-07-08 06:02:23.916021,1601,2015-02-25 00:42:40.911107,1600
John,IN,888,Church of England clergyman,2,2015-07-08 04:30:43.865701,,10000410,"John Aucher, John, John Aucher",Aucher,,IN,,2,male,,John Aucher,,2015-07-08 04:30:43.865863,1701,2015-02-25 00:39:41.264571,1619
Francis,IN,16652,,2,2015-07-08 04:31:06.062078,,10000415,"Francis Augustus Ligonier, Francis, Francis Augustus Ligonier",Augustus Ligonier,,IN,,2,male,,Francis Augustus Ligonier,,2015-07-08 04:31:06.062240,1746,2015-02-25 00:39:41.329729,1693
Bridget,AF,0,Salem witches and their accusers,2,2015-07-08 06:13:15.202786,,10001096,"Bridget Bishop, Bridget, Bridget Bishop",Bishop,,IN,,2,female,,Bridget Bishop,,2015-07-08 06:13:15.202962,1692,2015-02-25 00:39:51.398988,1582
Magdalene,AF,67737,,2,2015-07-08 04:25:23.104714,,10000374,"Magdalene Aston, Madgalene Poultney, Magdalene, Magdalene Aston",Aston,,IN,,2,female,,Magdalene Aston,,2015-07-08 04:25:23.104880,1635,2015-02-25 00:39:40.776648,1525
Richard,IN,2467,theologian,2,2015-07-08 06:13:14.899447,,10001095,"Richard Biscoe, Richard, Richard Biscoe",Biscoe,,IN,,2,male,,Richard Biscoe,,2015-07-08 06:13:14.899627,1748,2015-02-25 00:39:51.385706,1687
Curtis,AF,1477,naval officer,2,2015-07-08 05:13:38.996442,,10000684,"Curtis Barnett, Curtis, Curtis Barnett",Barnett,,IN,,2,male,,Curtis Barnett,,2015-07-08 05:13:38.996637,1746,2015-02-25 00:39:45.419742,1636
Michael,IN,9964,judge and legal writer,2,2015-07-14 03:28:58.733162,,10004494,"Michael Foster, Sir Michael, Sir Michael Foster, Sir Foster, Michael, Michael Foster",Foster,,IN,,2,male,,Sir Michael Foster,Sir,2015-07-14 03:28:58.733330,1763,2015-02-25 00:40:47.753542,1689
Philip,IN,946,poet and translator,2,2015-07-08 04:34:15.806589,,10000449,"Philip Ayres, Philip, Philip Ayres",Ayres,,IN,,2,male,,Philip Ayres,,2015-07-08 04:34:15.806755,1712,2015-02-25 00:39:41.856073,1638
William,AF,29617,Church of England clergyman and author,2,2015-07-10 03:19:06.489642,,10012956,"William Willymat, William, William Willymat",Willymat,,IN,,2,male,,William Willymat,,2015-07-10 03:19:06.489802,1615,2015-02-25 00:43:15.221296,1505
Gerald,IN,67983,administrator in India,2,2015-07-08 04:31:13.614362,,10000418,"Gerald Aungier, Gerald, Gerald Aungier",Aungier,,IN,,2,male,,Gerald Aungier,,2015-07-08 04:31:13.614490,1677,2015-02-25 00:39:41.367845,1635
William,IN,939,judge,2,2015-07-08 04:34:06.866953,,10000447,"William Ayloffe, William, William Ayloffe",Ayloffe,,IN,,2,male,,William Ayloffe,,2015-07-08 04:34:06.867119,1584,2015-02-25 00:39:41.829173,1535
