id,name,description,start_date_type,start_year,end_date_type,end_year,created_by,created_at,approved_by,approved_on,citation
115,Members of the College of Physicians,"The College of Physicians was founded to regulate medical practice in early modern London. (It came to be known as the 'Royal College of Physicians' later in the 17th century.) The first president, Linacre, wanted to found an academic body for physicians rather than a trade guild of the kind which regulated surgeons and apothecaries. A degree was usually required to gain a license. Candidates took an oral examination to demonstrate that they were classically educated and had sufficient medical knowledge.",IN,1518,CA,1700,583,2017-07-20 17:33:03.433223,5,2017-07-21 16:58:28.424835,
72,Stationers Company,Stationers Company,IN,1403,AF,1800,3,2015-02-25 00:47:56.527571,4,2017-07-20 20:24:35.219740,
57,Catholics,Catholics,BF,1400,AF,1800,3,2015-02-25 00:47:56.314434,4,2017-07-20 18:51:09.894533,
132,Colonial America,British American colonists and their relations,AF,1570,AF,1700,5,2018-02-06 15:29:00.473469,5,2018-02-06 10:29:00 -0500,
133,Pamphleteers,pamphlet writers,BF,1500,AF,1700,5,2018-02-08 19:19:17.773779,5,2018-02-08 14:19:17 -0500,
118,New Model Army,"Main army of the Long Parliament, Commonwealth and Protectorate",IN,1645,IN,1660,419,2017-12-02 11:28:51.278424,11,2017-12-02 09:59:42 -0500,
134,Ejected Ministers,ministers ejected from the Church of England for nonconformity following 1662 Act of Uniformity,IN,1662,AF/IN,1662,5,2018-02-08 19:50:40.191463,5,2018-02-08 14:50:40 -0500,
135,Financiers,money managers and investors,CA,1500,CA,1700,5,2018-02-19 22:32:02.432067,5,2018-02-19 17:32:02 -0500,
136,Saddlers and harness makers,"People working as saddlers or harness makers, or members of guilds or companies governing these trades",CA,1500,CA,1700,419,2018-03-01 16:09:11.267365,419,2018-03-01 11:09:11 -0500,
116,Printers,Operators of printing presses,BF,1500,AF,1700,5,2017-11-18 02:50:52.101121,5,2017-11-17 21:50:52 -0500,
119,Hebraists,"specialists in Jewish, Hebrew and Hebraic studies",BF/IN,1500,AF/IN,1700,5,2017-12-22 15:15:08.978944,5,2017-12-22 10:15:08 -0500,
120,Spies,spies,BF/IN,1500,AF/IN,1700,5,2017-12-22 23:37:28.293332,5,2017-12-22 18:37:28 -0500,
121,Booksellers,booksellers,CA,1500,CA,1700,5,2017-12-23 14:01:11.762482,5,2017-12-23 09:01:11 -0500,
122,Pirates,pirates,CA,1500,CA,1700,5,2017-12-23 14:01:11.812988,5,2017-12-23 09:01:11 -0500,
123,Translators,translators,CA,1500,CA,1700,5,2017-12-23 14:01:11.819497,5,2017-12-23 09:01:11 -0500,
124,Judges,judges,CA,1500,CA,1700,5,2017-12-23 14:01:11.826586,5,2017-12-23 09:01:11 -0500,
